Review Time,ASIN,Overall,Summary,Reviewer ID,Review Text
2013-06-24,B0031Y9CPG,4.0,"Chloe, Chloe, Chloe",A34FGMJ3K5O6GT,"This was a good book, yes it was hot. Some say it lack character, hum, I say it didn't lack anything. It had a beginning, a middle and a conclusion, which spells a good story. To me some parts were funny, like Chloe's sister Zoe, talk about trouble, and what about the hunk Mark? Some people want more than what erotic is suppose to be, I like a short, hot and sweat story and it had it all. Anyway I have given it a 4 because I liked it."
2013-04-28,B0033Y95CE,3.0,"Hot, but hate the main female character",A2ZSH3DPVR6X4D,Tally just does not entertain me. I found her annoying and this decreased by enjoyment of the book. However the two males leads completely made up for it! If only they were real!
2011-02-20,B0034EJL90,3.0,Torn,A3B96D5MTAD9MF,"I was torn with this one.  I wanted to like it and at times i did, but as with the other reviewers it was disappointed in how Pip just rolled over after their past.  She deserved to be chased and have Cowboy beg her a little bit but i never felt like he deserved her instant forgiveness.  I really liked them both but i would like to have seen him do some serious apologizing and maybe some groveling as well.Overall, not bad but not great.  But for less than $3 I don't regret the purchase and am glad i have it to add to the other Men of SWAT collection."
2013-09-3,B0035LDNBY,4.0,Smokin' Hot,A3B51RBXIRUP80,"I LOVE Cameron Dane!  Her stories are great, and this one is no different.  The characters are likeable, the love scenes smokin' hot and I went from laughing to crying in this story, just like all the rest.The only reason I gave it 4 stars instead of 5 is because I think her ebooks are a little pricey.  Other than that, it was a fantastic book in an outstanding series!"
2013-08-5,B0035N1UOY,4.0,kool story,AY8EWDWLZRY5I,Kool story Im hoping there will be a next book. Very unique story line. HOT sex and the mind games where killer.
2013-01-21,B00381B3ZY,5.0,"Stellar collection, well worth owning",AMMEOBGQ8T34J,"This is billed as ""thirteen creepy tales,"" but to be fair, they are not ALL creepy.  The last one, for example, is more of a life-affirming, oddly understated, and respectful piece of work.  All of the stories were tightly written, and once I picked up the book, I didn't put it down until the last word.  I love finding self-published authors who give indie work a good name--obviously, the author cared enough to edit and finish the book properly before publishing.  The stories were compelling, and I'm not going to give you any spoilers--you'll have to read for yourself! But I'm definitely going to keep an eye on this guy, because he currently ranks up there with some of my favorite indie authors."
2013-12-19,B0038KX8S0,5.0,Great,A19NV52QD8YCTV,"Loved it, it was great I couldn't put it down. I would highly recommend it. Such a wonderful love story"
2014-04-6,B0038KX8S0,2.0,Cute story but poor writing style,A1ZTIIU0V1KTFC,"I liked the premise, I even like how it ended, but I lost track of how many times they 'moaned' and 'groaned'; it was the only sound they made, sometimes 2-3 times in a paragraph! On top of this, everything was apparently 'lovely'. Essentially, the word repetition overrode the story on many occasions.Also, when a new person starts to speak, they should get a new paragraph. To have 2-3 people speaking in one paragraph, often without full stops, was very confusing.Then there was the head hopping! One voice at a time, please, and hopefully within different chapters, or if not, with double paragraph gaps between each. It gets confusing to have the point of view changed from one paragraph to another.Still, I did enjoy the storyline."
2014-06-25,B003AYEM66,3.0,Not bad,AD1E4MBIBUFUE,"This book wasn't bad, I would definitely read another book by this author, and with this character, it was a pretty decent mystery."
2013-08-27,B003C1R5CA,5.0,A mst read for all famillies,A2KOQG4SULOTS7,"Wow did this set me thinking, everyone  should read this book , we all seem to have elderly rellies & how dementia etc. was handled was a real eye oepner"
2011-02-6,B003FK5QAG,4.0,"charming, sexy, fun",ARDROUMXFQ2NS,"Just Right walked that hard to balance romance line of engaging characters, enough ''will they, won't they'' angst, and still deliever some steam. I've read enough free kindle romance books to REALLY appreciate an author that can deliver the goods and some nice humor. Dare I say it... I might even PAY for another book by this author?! Well, let's not get crazy. But, I would recommend Just Right to a romance fan with a thing for hot doctors, hot ''good parts'' and strong dialogue. I'd even recommend paying for it :-)"
2013-03-16,B003N2QTTS,4.0,Jake is my favorite brother,A3YIREZP208T4,I have loved getting to know the tracers brothers.  Each with a separate and interesting personality.  But it's the family bond I love the most!
2010-06-21,B003NX7C20,4.0,GREAT DEBUT,A380RZCQTDKSH7,"Allegra has cashed in her frequent flier miles to fly to Scotland and see what she's hoping is The Dedfield Rose, also known as The Flower of Death.  The information and request to come to Scotland came from Douglas MacGregor, owner of the pub Mac's.  The danger is increased when a local man is killed.  With all the threats Allegra has to face it's a good thing she has a guardian angel.  Casper, not his real name, was a warrior in a Germanic tribe that fought the Romans.  He died 1st or 2nd century AD.  In order to get into heaven he has to be a guardian angel AND abstain from sex.  This is his penance for the raping and pillaging he indulged in during his lifetime.  This translates into some serious sexual tension between Casper and Allegra.ALLEGRA FAIRWEATHER: PARANORMAL INVESTIGATOR is different and fun.  The story has excellent flow and reads very quickly.  I like Allegra's voice and sense of humor.  The mystery is good and trying to figure out what was coming next kept me on my toes.  One of the entities was kinda scary & not one I was really familiar with.  The relationship with Casper is very appealing.  I really appreciate the fact that they both put his entrance into heaven above their temporary carnal satisfaction.  It creates a tension and dynamic that has, in my opinion, an old fashioned romantic feel.  It would suit me if they never scratch that itch.  Their relationship has the opportunity to be something truly special and so much more that way.  The potential in Allegra's debut is promising and I eagerly look forward to her next investigation.I received this book from the publisher through netgalley"
2013-01-12,B003O85YEM,2.0,Just couldn't get into it!,ANR2VSAO7C5G6,Can't write much about this book as I just couldn't get into it.  Tried to go back several times but nothing about it caught my interest.
2014-06-24,B003PPDB12,4.0,good mystery,AQ6B3H6Z5IH2,A good book that keeps your attention throughout. Took a while to figure out how everything tied together.  Worth the read.
2013-08-13,B003QHZ5JU,5.0,Great Story,A2BSFP13NB91KS,Strange and wonderful. In some cases a word or two says it all. Am annoyed at having to write more. Tis the end.
2013-06-18,B003SE7K4O,3.0,"Not exceptional, but a good read",A1O6X2EGZQEKYK,"This is the third of Andrew Grey's novels that I have read.  Although it was a good story, definitely not the same caliber as his first book in the series.  A bit lacking in trying to spin a &#34;who done it&#34; mystery, but still enjoyable."
2012-01-8,B003U2RVDY,4.0,Know your worth,A1COBF34FM73LH,"I really enjoyed the story. It shows that although we may enjoy having the finer things in life there is nothing like having a peace of mind and being happy. Marci aha Dani shows that when leaves her rich husband and flee to the east coast after years of being abused. She takes on a a low paying job, moves in a low class neighborhood and falls in love with a bouncer.I enjoyed her strength and the way she allowed love to love her. Although its different from the gritty, urban tales that I read. I really enjoyed this story."
2013-12-1,B003U89RS0,5.0,Seriously faced paced full of humour.,A2PFCU5WLS5UIX,"Excellent blend of innocent brilliance, danger,romance and intrigue. Loved the quirky mind of Lexi and her wild assortment of brainiacs and brainy secret services men."
2011-03-30,B003XRE5LM,5.0,Cute and quirky!,A3IRDK3SGT60F9,"This was a short fun little horror story.  I got through it fast and enjoyed it thoroughly.  Basically it is man vs. monster tub.  It was well written, paced well, and peaked your curiosity.  It was well worth its price!"
2013-08-8,B003XRE5NA,5.0,Highlander 2,A3JW8HKQCSYCBC,"Since reading  this book, I have read the other 14 books in this series and found them all to be well worth the read."
2013-04-20,B003XVZB2U,4.0,Women of sin,A2OK24SNRJWBKG,"Very well written book, one that I will read again and again.  Praise God for writers like these to show us God's love thru others eyes."
2011-05-19,B003Z9K3GO,4.0,"A beautiful, heart-warming and cleverly written romance!",A29PZR73GSKBZT,"Such a sweet story - I thoroughly enjoyed this lovely book! No, it's not as angsty or perhaps as deep as Ms. Lane's other books (I am a huge fan!), but I just adore the way she writes - it's such a refreshing, funny, biting style, and Sebastian seemed such a perfect fit for her ""voice.""MILD SPOILERS:Sebastian is out, and with a vengeance, sporting rainbow t-shirts and entirely unapologetic about his sexual preferences. He lives in a world of perpetual academia, plans on starting work on his second PhD with his best friend Bella. But we learn that much about Sebastian, and Bella for that matter, is a cover for the pain in their lives they are both trying to escape. Sebastian's pain, without spoiling much, is a result of a less than loving family. Bella's is something different, because she is blessed with the ""perfect"" family - including a brother named Asa - the brother who ""bewitches"" Sebastian.Asa is reeling from a painful divorce, and has sole custody of his (adorable) 7 year old son, Jordan. In spite of his pain, however, Asa is ready to love again when he meets Sebastian (in a funny scene where a buck-naked Asa threatens Sebastian with a baseball bat, thinking he's a burgler!). He's had a single encounter with another man, and is open-minded and most definitely turned-on by the gorgeous Sebastian. One thing leads to another, but it's not the formerly straight Asa who runs away in fear...it's Sebastian. The main focus of the story is on Sebastian and Bella's growth, as we watch them work through their fears and ""grow up.""I agree with some of the other reviewers that the tension in the story was pretty predictable, but honestly didn't care. I didn't need a major trauma or angst to round out the plot. I also agree that Asa's character is a bit too good to be true, but I think part of this comes from the fact that, although the narrative is in the third-person, the story is most definitely told from Sebastian's persepctive, and Sebastian worships the ground Asa walks on. Of course Asa would seem perfect.Ms. Lane did a marvelous job with the character of Bella, giving her depth and her own story. A nice change of pace from the traditional dual protagonist focus of M/M romance. I laughed out loud more than a few times (my kids kept giving me strange looks!) as I read some of the scenes. The sex scenes were hot and there were plenty to satisfy me.This would be a perfect beach read, if you're looking for something clever and sweet - a story to keep you smiling, well after you've finished. I don't doubt I'll be re-reading this one, the next time I'm feeling like I need a warm fuzzy!Shira Anthony (a.k.a. Sarah Alexander)Author of ""From the Depths"""
2011-03-6,B00413PTT4,3.0,This book was okay,ASLBEPLSAPWX9,"This wasn't my favorite of the series, but it was okay. The author just seems to drag things out too long and spend countless pages on mundane, uninteresting things. She needs to focus more on the action and not show so much of everyday life. Use the *** and skip from time to time. The entire thing doesn't have to be step-by-step and linear. Also, the fact that she didn't use contractions half the time started to really annoy me in this book. The characters are also becoming less and less likable as the series goes on. I still want to know how the series ends, though."
2013-02-20,B00413QQ1E,4.0,Original Cozy mystery series,A3BP86ZB4ME309,"Very original plot idea, fun cozy mystery. Sam, the main character, breaks into houses for the government, to clean them when they are left empty for financial reasons. She also bakes and dreams of opening her own bakery shop. Sweet Masterpiece combines these talents with finding a magic box, a new boyfriend, a buried corpse and a hunt for a killer. Meanwhile, her adult daughter decides to move home as well, putting a cramp in Sam's routine. The plot was original and inventive, although Sam was somewhat insensitive to her daughter's plight. Although Sam's finances were tight, she could have been a little more emotionally supportive and concerned of her daughter's needs. Overall, an original story that serves as a solid base for a series."
2014-03-28,B0041D88X8,4.0,Ploot Ploot,AA0O8DU4FQ7BE,it's uncanny to the extent of a father who wants a child. I applaud Deanna for her ability to be herself even when he isn't in her own world.
2010-12-23,B0041G6KT4,5.0,Powerful sequel,AX48LWJBU5RUH,"In Jason Lett's first book Powerless:  The Synthesis we are introduced to Mira who has been kept in a safe and secure world of her parents making.  The reason?  She has a sister somewhere out in the cruel world who was kidnapped as a child, and she has no special talent or power like the other children.  Something in her world changes and her parents realize they must let her choose her own path.  It is in choosing to enter the world that Mira finds her own type of power and builds friends and allies.In the sequel Powerless:  The Shadowing  we watch as not only Mira, but her friends grow and develop their talents and knowledge.  From an early age they relied only on their talents to help them.  Mira did not have this advantage and had to rely on her wits.  Each child has set off to find a mentor who will help them develop their talent.  For Mira she finds the author of her beloved Science books, Flip Widget.  He puts her through grueling training that often makes you wonder if she will survive it.The one thing I really liked was the way this turned a little darker.  I'm told by my relatives that it is my warped side.  So be it.  It made the story more fascinating.  This book was told from multiple points of view as each child's story of developing their talent is told.  Once again Mr. Letts has left us hanging at just the right place.  At this point all I can say is hurry up with the next one.  This is a must read."
2012-09-30,B0041T4FA2,4.0,Adventure That Grabs You,A1VPXCFO261VWH,"PictureJ.R. Rain gives the reader in The Lost Ark an adventure story of biblical proportions. Okay, maybe not quite that big, but I'm sticking by my phrasing.An American tour guide in Turkey struggles with his own ghosts when a woman from his own homeland walks in needing a guide up Mount Ararat in search of her father who disappeared with a student a month before. She will go with or without him as a guide. Sam Ward takes her up because he knows he is the only one she will be able to trust. The problem lies in someone with wealth and power has 'claimed' the mountain. They find themselves running for their lives from crazed men with weapons and the possibility of Noah's ark being nearby. They are in for the surprise of their lives.The story started off a little slow, but it was building the background and setting the scene with the characters. In fact, that slow start was needed. Rain does an excellent job in developing characters while not making them too close nor too far removed from the reader. The action, once it starts, is non stop. I enjoyed that. The two main characters hardly have time to catch their breaths as nature and madmen interfere with things.I had trouble putting the book down. I had to know where the missing people were, did the find the ark, and how were they going to get out of there. I wasn't disappointed in the story. There is violence and there is swearing in the pages.If you like adventure, a little history, and dealings with crazy men set out to destroy the world, you have to read this book. It is well worth it.Note: This book was purchased with my own funds."
2011-02-18,B0042RUNZE,5.0,No Sophomore Slump,A2T2PWOIL53JU1,"Mira Kolar-Brown's second book, ""Lock Up You Daughters"", is, if anything, even better than her first, ""Hiding the Elephant"".HIDING THE ELEPHANT (Simon Grant Mysteries)But that's not to say that you should skip the second and plunge immediately into the first.That would be a twofold mistake. First, because you'd be passing up a terrific book, and, second, because Mira reveals, in ""Daughters"", some things that remain unresolved and mysterious in ""Elephant"".And, once you've been there, you can't go back.Folks already familiar with Mira's work are going to be pleased to return to her England of the early nineties where they can, once again, catch up with Simon Grant.Simon, for those of you who have yet to meet him, is a moral cop who leads a complicated personal life with his wife and the woman he loves.And they are not the same person.""Daughters"" focuses on the murder of two women, separated by years in time, but whom we ultimately discover to have been victims of the same killer.And both the identity of that killer, and the motive for the deeds, will surprise you.At least, they did me.This book, on Kindle, is an absolute steal. Buy it."
2013-10-2,B0043GX2HU,5.0,Must Read,A28WM3C134GNSZ,"Jennifier you've done it again, love your books, couldn't it down, Romance, Thrilling, drama, Sex, lots of Sex, loved it."
2011-08-30,B0045JK408,4.0,Three free inspirational stories based on the Bible,A2KWQ64TRHB3YH,"Fraley offers three short stories in this Kindle book: Petitions, Angel's Song, and Water. Petitions is a very moving tale of a homeless man who began to drink and became homeless after his wife and child were killed by a drunk driver, and his reactions to the people who gave him money. Angel's Song is a sci-fi story of a world that is not earth. It has many illusions to tales in the Hebrew Bible and the New Testament. Water is based on the New Testament John 5:1-16. It is about a man who refuses to go into water to heal his legs believing that this is pure superstition, until a strange man approaches him."
2012-06-13,B00480OJR8,3.0,I finished it just to give it a chance...,A2ZWG4O33U1CIE,"I knew that this title was geared to younger readers, which generally doesn't deter me too much, I usually see such books as quick reading/easy entertainment.  After the first 2 chapters, I honestly wanted to give up on the story all together.  I mean, really, a girl dreaming of people dying and her parents say ""yes honey, you will dream of tragedy, but nope, you can't do anything about it.""  And ""Happy birthday, your family is special, we all have special powers, but you can't do anything about it.""  It all just seemed ridiculous.  But, I am the type who has to finish a book, I can't leave even the silliest of books unread.  The plot had potential, but the characters had little substance.  The big secret was blown up into public news half way into the story so what more is there for the next 2 books, I'd imagine just continuation of these 3 children running from the government, which makes it less paranormal thriller and more like a new age Holocaust fiction.  I have little to no desire to read the next book; I gave it 3 stars and not 2 because it is better than some of the teen/YA books I have read in the past."
2012-05-26,B00486U5Y8,4.0,Enjoyable Quick Read,AUHFGXAFAHC7Z,"I was thrilled with the short stories about Barbara. I love a peek into her real world. The other stories were nice, but I got the book for the Marr stories. If you're a Barbara Marr fan, don't miss this book."
2012-02-3,B0048EJUHI,5.0,Scorching hot,A196E4Y4DSABN1,"Updated status at 60% - Holy crapolie - hubby is gunna cop it when he gets home.I'm going to fall back into my natural Aussie lingo here and say ""Crikey Moses.""This book was so damn good!! 100% perfection. I loved it from start to finish. And the best part for me? I'm turning 30 in less than two months and my hubby has his own plans for a dirty birthday present so it was DAMN EASY falling into this book and fantasising about all the possibilities.In a drunken moment Evan tells his wife he would love to have sex with another man (now wondering if I should whisper in hubbys ear that I would die to get my hands on Jason Momoa for my 30th)....anyway, Maggie, the most awesome wife in the world, grants him his wish.Insert Paul, the hunky bouncer at their local bar.The sex - erotic, explicit, naughty, dirty, kinky - highly arousing. It tickled me in all the right spots and honestly has me begging to read more by this author.Not only was this story enough to make me crave more for this author - but it was accomplished in 64 pages!!Cara McKenna is talented - no, not just because she can write terrific smut, but because it was extremely well written. I envy her writing style. I cannot fault it.Per.Fect.Ion!!"
2013-03-24,B0049P1NQ2,4.0,Omg,A2AKWG60O2BHIX,Aidens Game is a good read you shouldn't hesitate in getting this book it want disappoint you in the end
2012-09-6,B004BDOVH0,5.0,Great Story,A2NURC0DPQF6KE,Great story with real characters. A reminder of how important it is to stop and appreciate those that love you. Couldn't wait to see how it ended and read straight through. I've read most of Robin Alexander's books and as always was pleased.
2013-11-5,B004BSGWP4,3.0,Prairie Prince,ASA5RSXOAVT12,"A very predictable story with poor grammar that lacked a lot of depth. I would definitely consider it a feel good story, bordering on cheesy."
2011-12-28,B004C44QKA,4.0,kindle book deadly medicine,A1XWYGMGWL07BT,this was a great book I feally enjoyed and swill keep it on my kindle and will look for more book from this auther.
2012-04-7,B004CFBINC,3.0,I'm being generous giving 3 stars,A1AZP1XLHZYUMS,"This is a typical romance novel - wonder what he thinks of me; wonder what she thinks of me.  OMG, I've known him/her for 48 hours and I think I love him/her, but I just know that he/she doesn't love me and I'm so sad.  We are so wrong for each other, this can never work out; but do I really want it to work out?  Add a bratty, annoying five-year-old to the mix and and it's just a very light beach read with little substance."
2012-02-13,B004DNWQ98,1.0,Train Wreck!,AL4D6OHMS2Z9P,"This author should be ashamed enough to go back to school...learn to spell.  Learn punctuation.  Take her Editor with her (or get new Editing Software)...  I've never seen such a massive train wreck in reading.  Publishers must be beyond desperate to publish such catastrophic, error riddled trash.  Not worth one star...not even if the story were remotely close to being good.And WHO in their right mind would give this typographical ridden drivel five stars??  Most likely friends and family of this poor excuse of an Author."
2014-02-5,B004E10W0E,1.0,Bubba and the Dead Woman,A2G8W9KS9VRK1U,This was not a type of a story that I enjoy.  The story was fair; too much unnessary descriptive matter.
2013-03-21,B004EYUELS,5.0,Sifi,ANNJ8FZ6KRUTO,What a great ride. Fast paced and really great tech. So many great and unexpected twists. I can't wait till the next book comes out.
2010-12-25,B004FV4TSO,4.0,"No TOC, and other Kindle issues, but still good",A9GZQ72G92HWY,"My second favorite comfort food, after meatloaf. As in the style of the Meatloaf Cookbook by Goose Berry Patch, the cookbook provides a wide choice of Mac and Cheese dishes.  I can't wait to try the Mac and Cheese Nuggets and the Pizza or Slow-Cooker mac and Cheese.  Yum.However, the issue is the recipes all flow together, one after another, without breaks. And to easily search the recipes, you need to go to the Index:  MENU > GO TO... > INDEX.It would be great if the book contained a table of contents at the beginning as well as the Index at the end."
2011-07-28,B004GB1TAY,4.0,An exciting Romantic Supsense,A28UUV2QKVVMTW,"I can't remember the last time I enjoyed a romantic suspense novel so much! There are just so many things that drew me into this book. There was the setting: Paris-while I was reading the book I felt like I was experiencing it with Maya.  There were so many twists and turns in this book that I never knew who was coming after the heroine next-I loved it.Maya is one tough cookie. She might be down and out in Paris and have someone framing her for murder-but she's not going to let it stop her from clearing her name and maybe, just maybe finding some romance. Speaking of romance, Simon was a really fun character. I loved how he tried to be all controlling and Maya would have none of it-she would listen to his suggestions, but if she didn't like it she would follow her instincts. I loved the banter between Simon and Maya and for me there was just the right amount of romance mixed in with the mystery at hand. This is one of the few inter-racial romances that I've read and  it makes me wonder why I haven't read more of them.The only real fault I had with The Paris Secret was that I really enjoyed some of the secondary characters that Maya meets on her tour and would have liked to see more of them-they kind of disappeared and reappeared out of nowhere-but I have a feeling that might be how romantic suspense novels flow with secondary characters. Despite that though, this was just a fun read that made me want to read more of this genre!"
2011-10-21,B004GKMYDG,1.0,Couldnt even finish it,A2KUGJK7GZ3RQ7,"I should have known this book was a waste of time when there was a Prologue to the Prologue, I want my money back. I wont be reading this author ever again"
2011-06-18,B004HFRMQE,3.0,Violet Tendencies,A2FSWI7Q6MZ9PX,"This is a very shot read. I read it in a little over thirty minutes. The questions about Valva are answered in these few short pages. The readers are given very little information as to why Valva did not make it to Green Eyed Demon. It is a highly amusing story that involves a vampire owned strip club and gallons of baby oil. Violet Tendencies picks up the night after Maisie is kidnapped. Sabina and crew are looking for a place to crash for the day while she is hiding from her grandmother and her crew of evil. This story can easily be skipped. If you wish to know the precise details about where Valva the Vanity Demon went, read it here."
2013-01-3,B004HILQ8Q,5.0,The Falcon & the Dove,A2BSGAEG2GGHOA,I could not put this book down.  It took me three days to finish it and it was worth every minute.  I'm looking forward to reading more from Bonnie Vanak.
2011-09-6,B004HKIGU0,4.0,Not a bad lil story.,A1WD8PRZ5VQCS0,"It seems that there's been a major accident at the North Pole. The accident is so bad, that one elf tells Santa that they may have to cancel Christmas.  Santa has no plans to cancel Christmas, but he has a decision to make, and that's what to do about the accident, and how to save Christmas.  After a while of thinking and soul searching, Santa has an idea. He has a special plan for the kids on his naughty list.This story is centered around Christmas, but you don't have to read it at Christmas time.  It's a neat lil horror story that will hold your attention.One part is strange, it has some strange spacing on it. Some paragraphs aren't lined up the right way, and it kind of made it a disjointed read. It was just a lil distracting, but nothing major.Overall, I really liked this.  This is a very, very short story.  This just proves that good things come in small packages."
2014-02-4,B004HO6ATU,5.0,Kissing in the Dark/Wendy Linsdtrom,A3BW9AR0FJU7ZG,"Another Grayson Brothers Series.  Book # 4You have to read all of the books, this is about one of the brothers protecting the woman of hisdreams, but he doesn't know this until later..  must read"
2011-05-16,B004HW7IG6,2.0,Not At All What I Hoped It Would Be,A260P79IPGSZ60,"Unfortunately I can only echo what so many other reviewers have said about this book: although the premise is good, the execution of the storytelling leaves a lot to be desired.  While the opening page and a half of the book is reasonable in terms of grabbing attention - setting up questions in the reader's mind, the following three pages of blatant exposition quickly cools whatever interest was roused for the plight of the two women stuck in the Nevada desert looking for the illegal horse round-up.The book would have benefitted much from an editor's eye being run over the text, followed by a good deal of hard thinking about what to keep in, and what to remove.  The dialogue feels forced and stilted, and in some places kept in merely for the sake of having dialogue, and the recurring instances of exposition - of telling, rather than showing - what is happening do not help to improve the overall impression of the story, of nor the authors skill at telling it.It is a shame, because it could have been such a good book if handled properly."
